# from this output it is clear that random integer generation is a bottleneck in this script

 1101677 function calls (1101649 primitive calls) in 2.391 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      3/1    0.000    0.000    2.391    2.391 {built-in method builtins.exec}
        1    2.213    2.213    2.391    2.391 matmult.py:1(<module>)
   125250    0.023    0.000    0.164    0.000 random.py:332(randint)
   125250    0.058    0.000    0.141    0.000 random.py:291(randrange)
   125250    0.040    0.000    0.062    0.000 random.py:242(_randbelow_with_getrandbits)
   375750    0.021    0.000    0.021    0.000 {built-in method _operator.index}
   158628    0.011    0.000    0.011    0.000 {method 'getrandbits' of '_random.Random' objects}
   125250    0.011    0.000    0.011    0.000 {method 'bit_length' of 'int' objects}
      250    0.005    0.000    0.006    0.000 {built-in method builtins.print}
    63109    0.005    0.000    0.005    0.000 {built-in method builtins.len}
      6/1    0.000    0.000    0.003    0.003 <frozen importlib._bootstrap>:1349(_find_and_load)
      6/1    0.000    0.000    0.003    0.003 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      6/1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap>:911(_load_unlocked)
      2/1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap_external>:989(exec_module)
      500    0.000    0.000    0.001    0.000 cp1252.py:18(encode)
        6    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
      500    0.001    0.000    0.001    0.000 {built-in method _codecs.charmap_encode}
        2    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1520(find_spec)
        2    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1491(_get_spec)
        8    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
     12/2    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
        1    0.000    0.000    0.001    0.001 random.py:1(<module>)
       12    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
       12    0.001    0.000    0.001    0.000 {built-in method nt.stat}
        2    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
       40    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
        2    0.000    0.000    0.000    0.000 {built-in method _io.open_code}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
        2    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        2    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      806    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
